1,1,A,FRS 1,Family Radio System 1,Public,Public,1
2,2,A,FRS 2,Family Radio System 2,Public,Public,1
3,3,A,FRS 3,Family Radio System 3,Public,Public,1
4,4,A,FRS 4,Family Radio System 4,Public,Public,1
5,5,A,FRS 5,Family Radio System 5,Public,Public,1
6,6,A,FRS 6,Family Radio System 6,Public,Public,1
7,7,A,FRS 7,Family Radio System 7,Public,Public,1
8,8,A,FRS 8,Family Radio System 8,Public,Public,1
9,9,A,FRS 9,Family Radio System 9,Public,Public,1
10,a,A,FRS 10,Family Radio System 10,Public,Public,1
11,b,A,FRS 11,Family Radio System 11,Public,Public,1
12,c,A,FRS 12,Family Radio System 12,Public,Public,1
13,d,A,FRS 13,Family Radio System 13,Public,Public,1
14,e,A,FRS 14,Family Radio System 14,Public,Public,1
15,f,A,FRS 15,Family Radio System 15,Public,Public,1
16,10,A,FRS 16,Family Radio System 16,Public,Public,1
17,11,A,FRS 17,Family Radio System 17,Public,Public,1
18,12,A,FRS 18,Family Radio System 18,Public,Public,1
19,13,A,FRS 19,Family Radio System 19,Public,Public,1
20,14,A,FRS 20,Family Radio System 20,Public,Public,1
21,15,A,FRS 21,Family Radio System 21,Public,Public,1
22,16,A,FRS 22,Family Radio System 22,Public,Public,1
23,17,A,GMRS In 1,GMRS Repeater In 1,Public,Public,1
24,18,A,GRMS In 2,GMRS Repeater In 2,Public,Public,1
25,19,A,GMRS In 3,GMRS Repeater In 3,Public,Public,1
26,1a,A,GMRS In 4,GMRS Repeater In 4,Public,Public,1
27,1b,A,GMRS In 5,GMRS Repeater In 5,Public,Public,1
28,1c,A,GMRS In 6,GMRS Repeater In 6,Public,Public,1
29,1d,A,GMRS In 7,GMRS Repeater In 7,Public,Public,1
30,1e,A,GMRS In 8,GMRS Repeater In 8,Public,Public,1